LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016041202,0200,3.52,1.48,8.72,E,1,H,80,V,7,15,12,25,27,15,40,109,0,0,0,0,0,0,0,0,2016041208
2016041203,0300,9.72,2.62,11.92,E,1,H,80,V,17,82,47,147,108,28,39,149,0,0,0,0,0,0,0,0,2016041209
2016041204,0400,10.78,2.28,12.96,E,1,H,80,V,21,110,36,162,111,21,36,156,0,0,0,0,0,0,0,0,2016041210
2016041205,0500,10.62,2.32,12.88,E,1,H,80,V,19,111,39,161,110,20,38,149,0,0,0,0,0,0,0,0,2016041211
2016041206,0600,13.44,2.94,15.6,E,1,H,80,V,23,132,50,195,159,31,43,186,0,0,0,0,0,0,0,0,2016041212
2016041207,0700,14.24,3.3,15.44,E,1,H,80,V,49,192,27,136,193,46,43,191,0,0,0,0,0,0,0,0,2016041213
2016041014,1400,0.96,1.06,2.88,E,1,H,80,V,26,9,24,36,3,3,0,0,0,0,0,0,0,0,0,0,2016041020
2016041015,1500,0.82,0.58,2.72,E,1,H,80,V,21,34,5,4,3,3,0,0,0,0,0,0,0,0,0,0,2016041021
2016041016,1600,0.08,0.36,0.32,E,1,H,80,V,0,0,13,0,4,5,0,0,0,0,0,0,0,0,0,0,2016041022
2016041017,1700,2.8,1.5,7.6,E,1,H,80,V,22,22,21,23,0,0,32,95,0,0,0,0,0,0,0,0,2016041023
2016041018,1800,3.56,2.2,4.72,E,1,H,80,V,35,52,8,14,53,43,24,59,0,0,0,0,0,0,0,0,2016041100
2016041019,1900,6.26,2.64,10.16,E,1,H,80,V,57,108,26,51,127,38,11,27,0,0,0,0,0,0,0,0,2016041101
2016041020,2000,1.6,0.58,2.48,E,1,H,80,V,11,31,8,17,6,8,2,26,0,0,0,0,0,0,0,0,2016041102
2016041021,2100,1.08,0.36,1.2,E,1,H,80,V,3,11,5,15,14,6,4,14,0,0,0,0,0,0,0,0,2016041103
2016041022,2200,1.04,0.38,1.12,E,1,H,80,V,3,12,6,14,12,3,7,14,0,0,0,0,0,0,0,0,2016041104
2016041023,2300,1.04,0.32,1.2,E,1,H,80,V,6,15,2,12,14,5,3,11,0,0,0,0,0,0,0,0,2016041105
